Carimbo de data/hora,Curso,Semestre,Idade,Sexo,Frase [Faço amigos com facilidade na minha universidade.],Frase [Acredito que posso concretizar meus valores na profissão que escolhi.],Frase [Mesmo que pudesse não mudaria de universidade.],Frase [Costumo ter variações de humor.],"Frase [Olhando para trás, consigo identificar as razões que me levaram a escolher este curso.]",Frase [Nos estudos não estou conseguindo acompanhar o ritmo dos meus colegas de turma.],Frase [Escolhi bem o curso que frequento.],Frase [Tenho boas qualidades para a área profissional que escolhi.],Frase [Sinto-me triste ou abatido.],Frase [Administro bem meu tempo.],Frase [Ultimamente me sinto desorientado e confuso.],Frase [Tenho sido estimulado pelos meus professores na universidade a me desenvolver profissionalmente.],Frase [Gosto da universidade em que estudo.],Frase [Há situações em que sinto que estou perdendo o controle.],Frase [Sinto-me envolvido com o meu curso.],Frase [Conheço bem os serviços oferecidos pela minha universidade.],Frase [Gostaria de concluir o meu curso na instituição que agora frequento.],"Frase [Nos últimos tempos, me tornei mais pessimista.]",Frase [Meus colegas têm sido importantes para meu crescimento pessoal.],Frase [Minha trajetória universitária corresponde às minhas expectativas vocacionais.],Frase [Sinto cansaço e sonolência durante o dia.],Frase [Acredito que o meu curso me possibilitará a realização profissional.],Frase [Gosto das aulas do meu curso de graduação.],Frase [Acredito possuir bons amigos na universidade.],Frase [Sinto-me em forma e com um bom ritmo de trabalho.],Frase [Tenho desenvolvido amizades satisfatórias com os meus colegas de curso.],Frase [Tenho momentos de angústia.],Frase [Tenho dificuldades em achar um colega que me ajude num problema pessoal.],Frase [Não consigo concentrar-me numa tarefa durante muito tempo.],Frase [Faço um planejamento diário das coisas que tenho para fazer.],Frase [Tenho boas relações de amizade com colegas de ambos os sexos.],Frase [Consigo ter o trabalho escolar sempre em dia.],Frase [Quando conheço novos colegas não sinto dificuldades em iniciar uma conversa.],Frase [Escolhi o curso que me parece mais de acordo com as minhas aptidões e capacidades.],Frase [Há situações em sala de aula que os professores diminuem minha autoestima.],Frase [Sou visto como uma pessoa amigável e simpática.],Frase [Penso em muitas coisas que me deixam triste.],Frase [Procuro conviver com meus colegas fora dos horários das aulas.],Frase [Sei estabelecer prioridades no que diz respeito à organização do meu tempo.],Frase [Tomo a iniciativa de convidar os meus amigos para sair.],"Frase [Minhas relações de amizade são cada vez mais estáveis, duradouras e independentes.]",Frase [Faço boas anotações das aulas.],Frase [Sinto-me fisicamente delibitado.],Frase [Sinto-me encorajado para falar com meus professores.],Frase [A minha universidade não me desperta interesse.],Frase [Consigo ser eficaz na minha preparação para as provas.],Frase [A biblioteca da minha universidade é completa.],Frase [Procuro sistematizar/organizar a informação dada nas aulas. ],Frase [Simpatizo com a cidade onde se situa minha universidade.],Frase [Tenho dificuldades em tomar decisões.],Frase [Sinto-me desiludido com o meu curso.],Frase [Tenho capacidade para estudar.],Frase [Meus gostos pessoais foram decisivos na escolha do meu curso.],Frase [Tenho me sentido ansioso.],Frase [Estou no curso que sempre sonhei.],Frase [Sinto-me feliz com a forma como meus professores me tratam.],Frase [Sou pontual na chegada às aulas.],Frase [O meu curso tem boa infraestrutura.],Frase [Não consigo fazer amizade com meus colegas.],Frase [Mesmo que pudesse não mudaria de curso.],O que você achou deste questionário?
3/21/2018 9:54:08,Engenharia de Energias Renováveis,3º semestre,18 a 21 anos,Masculino,3,3,5,1,2,2,3,3,2,3,1,2,4,1,3,2,5,5,5,3,2,2,3,4,3,4,1,5,4,2,2,2,3,4,4,2,4,2,4,2,4,1,4,2,1,3,2,2,5,5,2,4,5,1,2,2,5,3,2,1,
3/21/2018 21:58:58,Engenharia Química,7º semestre,18 a 21 anos,Feminino,3,5,3,4,5,1,5,5,2,3,3,4,4,3,5,4,5,2,5,4,3,5,4,5,5,4,3,3,2,3,3,2,1,5,2,4,4,4,4,3,4,4,2,4,2,4,3,5,1,3,1,5,5,5,5,4,5,3,2,5,Extenso e com várias perguntas que significam a mesma coisa.
3/22/2018 10:36:28,Engenharia de Produção Mecânica,5º semestre,18 a 21 anos,Masculino,3,4,1,5,3,4,3,3,5,1,4,2,1,4,3,3,1,3,2,2,3,3,1,3,2,3,4,5,5,1,3,1,4,3,5,3,3,3,3,4,1,1,2,1,5,1,3,1,3,3,3,2,3,5,3,1,2,2,3,1,Dinâmico 
3/22/2018 10:37:45,Arquitetura e Urbanismo,1º semestre,18 a 21 anos,Feminino,3,5,4,5,5,4,3,3,3,2,5,5,3,4,5,4,5,5,3,4,5,4,4,3,3,4,5,3,1,2,5,4,1,4,3,3,4,4,4,2,4,4,5,1,2,3,1,3,1,5,4,5,5,5,4,3,5,4,2,1,Muito completo.
3/22/2018 10:37:52,Engenharia Química,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Masculino,2,3,1,5,4,5,3,5,5,2,5,1,3,5,2,3,5,5,3,3,5,4,2,3,1,1,5,4,5,3,4,1,1,3,5,3,5,4,2,5,1,3,5,1,4,1,1,3,4,5,5,3,4,5,4,1,1,1,1,4,Excelente levantamento
3/22/2018 10:38:07,Engenharia Civil,1º semestre,Menos de 18 anos,Masculino,3,4,3,1,4,3,3,3,2,2,4,2,4,4,3,4,4,2,3,3,3,3,4,3,3,3,1,2,4,1,2,2,3,3,1,2,1,3,2,2,2,4,3,3,2,2,1,3,5,2,1,3,3,2,3,4,5,4,1,3,"Nem tão curto nem tão longo, direto"
3/22/2018 10:38:07,Engenharia Química,"3º semestre, ""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Masculino,3,2,1,4,4,3,2,3,2,2,2,1,5,3,3,3,4,1,5,3,5,4,3,5,2,4,2,1,1,1,5,3,1,2,5,3,2,4,3,2,4,2,3,3,1,2,4,2,4,3,1,5,3,1,3,3,5,4,2,1,Extenso
3/22/2018 10:38:15,Engenharia Civil,3º semestre,22 a 25 anos,Masculino,3,4,5,2,4,3,5,5,3,4,3,4,5,3,5,5,5,2,4,4,4,5,5,5,3,4,3,2,3,4,4,3,4,5,4,3,2,3,3,2,3,4,2,4,2,3,4,4,5,2,2,5,5,4,4,3,4,4,2,4,"Muito bom! Pois, atende as expectativas de vários alunos, entretanto, ao se tornar generalista perde alguns detalhes que o tornariam mais eficaz."
3/22/2018 10:38:53,Engenharia de Computação,1º semestre,Menos de 18 anos,Masculino,4,4,5,3,4,4,4,5,3,3,4,4,5,3,4,5,5,3,4,3,2,4,4,4,4,4,3,1,1,5,5,3,4,5,1,3,1,2,4,3,3,2,1,4,1,4,5,5,5,1,1,5,5,2,5,4,5,5,1,5,util
3/22/2018 10:40:09,Engenharia Química,"""Fatorial"": no caso de você está fazendo disciplinas de diferentes/vários semestres.",22 a 25 anos,Feminino,2,4,5,5,4,4,4,4,5,3,5,1,5,5,3,2,5,5,1,4,4,5,4,2,1,2,5,1,3,1,3,2,1,5,1,2,5,1,3,1,1,5,5,2,2,3,4,4,3,4,3,4,5,5,4,2,5,4,2,5,Interessante se realmente for ter algum retorno positivo para quem o respondeu. 
